driverId,week,hours-logged,miles-logged
940,12,76,2800
556,19,68,800
172,7,71,4000
425,9,59,200
713,30,50,2100
482,9,79,3600
986,11,63,3600
628,18,51,2000
950,6,72,800
544,45,69,2300
652,23,75,3000
704,2,56,300
839,45,52,3700
166,8,52,2900
823,7,51,1900
88,47,62,800
56,49,68,1100
987,43,74,1400
863,51,58,2400
827,10,75,2100
361,2,78,3800
185,40,56,3300
428,16,52,400
699,27,69,1700
366,42,53,3400
735,45,58,500
138,36,61,3900
651,20,60,2700
692,41,66,1100
442,21,69,900
576,8,62,1700
378,38,78,3400
226,19,62,1800
900,21,66,2800
337,40,57,100
913,37,62,400
407,49,77,1800
366,40,74,2900
199,24,75,400
135,27,80,1400
888,28,71,2800
704,7,79,1700
202,19,70,2200
359,2,74,1300
108,40,64,1200
933,21,55,3600
741,9,72,1900
543,20,55,2700
67,8,67,2800
268,45,78,700
660,41,60,300
753,9,69,1900
954,39,65,300
370,25,59,2800
295,15,63,3600
888,19,60,1600
98,42,80,2800
253,52,68,700
273,50,74,4000
76,14,72,3000
229,48,59,2000
542,8,60,2100
901,17,59,1200
282,2,57,3000
743,38,77,800
643,3,69,1000
638,11,68,3200
872,10,76,2400
666,12,78,3900
777,8,66,800
266,48,80,1900
544,16,52,2000
963,44,67,3800
803,31,62,1200
716,39,58,3600
134,28,61,2900
552,48,61,2500
720,19,71,600
830,44,69,2700
64,37,78,1600
54,5,51,2400
588,11,76,1400
242,6,63,1100
995,13,56,2000
934,16,55,900
86,32,62,2900
654,40,57,200
381,42,50,300
647,24,50,2900
824,35,76,2400
301,27,79,1000
334,21,75,2700
77,3,71,2800
701,31,74,4000
455,3,51,2300
580,15,60,3100
75,15,66,1100
570,40,79,3200
502,13,59,500
529,34,52,600
102,51,77,2400
268,1,52,2300
993,10,54,900
342,34,50,2300
25,6,50,2000
341,19,67,1600
775,27,55,0
836,45,80,1100
563,28,57,3900
552,18,68,100
439,31,66,1700
698,44,52,300
680,29,65,1100
308,31,72,600
131,46,55,2500
468,31,57,3200
680,3,69,3500
757,13,53,200
900,19,63,2800
322,9,57,2900
327,27,79,400
292,46,78,2300
434,26,59,0
433,10,61,1800
168,17,51,2500
975,35,74,3200
507,36,64,1800
125,35,78,1600
944,46,72,1500
202,24,56,2000
530,50,79,3500
817,22,70,500
835,49,56,800
179,16,71,3000
249,25,54,1100
683,39,65,2400
171,9,63,3600
893,37,55,200
345,10,80,2500
52,35,54,1500
736,5,77,3400
100,49,53,400
212,13,52,2500
29,48,59,3700
790,52,62,1700
885,19,80,1200
76,49,67,800
639,6,53,3600
349,10,78,2500
694,46,51,1300
42,36,76,2000
553,49,67,2300
673,46,75,1300
355,5,61,2500
125,44,67,1000
468,28,58,700
361,34,77,1600
1006,20,52,3500
941,4,66,900
946,16,59,2800
154,10,66,1500
885,15,75,1600
943,19,52,3600
539,37,67,3400
779,49,78,0
880,12,69,1800
479,27,78,2200
570,12,59,1900
102,13,79,4000
669,3,55,600
142,22,65,500
356,52,67,3000
304,43,61,1900
147,26,51,500
616,17,69,1900
581,46,68,3200
922,50,76,500
439,38,55,2100
551,16,72,3000
58,7,78,3400
187,19,59,3900
398,32,52,2300
938,4,78,3300
683,7,52,2400
131,14,58,800
108,13,59,300
389,30,70,3000
281,14,63,3900
748,1,66,2700
180,28,51,3400
793,14,76,300
533,23,58,3500
577,21,59,1900
361,44,56,3000
122,27,50,1500
427,42,54,200
772,2,69,800
258,20,62,4000
698,29,80,1300
1005,21,62,1000
811,31,58,800
435,2,74,200
953,32,63,600
882,12,51,900
682,34,64,900
850,47,60,2500
45,43,59,400
219,33,77,3500
153,18,75,600
511,37,68,3900
546,36,62,1100
876,38,59,2600
871,51,56,2200
79,20,62,3800
734,6,69,900
410,24,74,3800
142,26,59,3900
176,8,75,3000
872,18,61,2500
819,32,52,1600
562,12,58,1500
844,42,55,2800
798,41,77,2200
149,22,50,4000
126,17,51,1400
283,34,62,1500
841,20,77,100
920,37,66,1100
697,11,63,200
390,36,73,900
407,25,78,2000
548,37,64,2000
888,38,51,3500
104,43,62,1700
127,43,72,3500
815,15,51,2700
749,14,54,200
594,22,51,3600
520,32,80,3900
827,34,59,3900
323,12,71,1700
452,33,66,2300
686,49,58,2800
145,31,75,2600
314,19,50,2600
165,40,56,1400
578,34,54,1700
639,27,54,900
468,37,67,3100
572,9,61,1500
475,9,60,1500
942,22,59,200
46,36,65,2900
729,41,74,900
751,34,51,1800
20,35,73,3100
525,21,63,700
31,9,53,3300
824,20,63,3800
479,39,57,2800
774,29,70,2600
489,41,70,1000
406,24,60,1800
469,14,65,1700
523,47,52,3700
728,44,59,2300
408,7,80,1300
91,18,50,2500
569,21,80,3000
993,37,55,1900
97,26,78,2600
835,8,70,3400
264,18,73,3200
149,47,72,0
129,9,52,2100
930,35,73,3000
775,22,68,3800
598,19,64,3100
311,46,51,3900
135,32,70,2100
174,39,56,2800
249,8,79,2200
602,4,55,400
39,35,61,2200
391,12,65,3600
787,40,76,3700
310,9,72,3000
234,3,76,3400
260,48,56,1900
230,19,75,1400
707,52,72,2300
259,8,60,2800
548,7,61,300
419,42,67,3500
22,40,79,100
387,3,72,3200
733,7,58,3500
339,50,60,1500
847,4,72,1000
